"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"261","UTAHDWQ_WQX-4930007",10390290,-111.9478892,40.7741301,"inlet",NA,"dn"
"262","UTAHDWQ_WQX-4930007",10390290,-111.9478892,40.7741301,"outlet",NA,"up"
"263","UTAHDWQ_WQX-4930009",10390290,-111.9478892,40.7741301,"inlet",NA,"dn"
"264","UTAHDWQ_WQX-4930009",10390290,-111.9478892,40.7741301,"outlet",NA,"up"
"265","UTAHDWQ_WQX-4936050",11967775,-110.4430696,40.1921767,"inlet",11967775,"dn"
"266","UTAHDWQ_WQX-4936050",11967775,-110.4430696,40.1921767,"outlet",11967777,"up"
"267","UTAHDWQ_WQX-4950051",10390290,-111.9478892,40.7741301,"inlet",NA,"dn"
"268","UTAHDWQ_WQX-4950051",10390290,-111.9478892,40.7741301,"outlet",NA,"up"
"269","UTAHDWQ_WQX-4990190",7913954,-111.966802,41.02286,"inlet",7913954,"dn"
"270","UTAHDWQ_WQX-4990190",7913954,-111.966802,41.02286,"outlet",NA,"up"
"271","UTAHDWQ_WQX-4990640",7913954,-111.91105,40.9093895,"inlet",7913954,"dn"
"272","UTAHDWQ_WQX-4990640",7913954,-111.91105,40.9093895,"outlet",NA,"up"
"273","UTAHDWQ_WQX-4994950",10329043,-111.8354937,40.3685594,"inlet",10329113,"dn"
"274","UTAHDWQ_WQX-4994950",10329043,-111.8354937,40.3685594,"outlet",10329097,"up"
"275","UTAHDWQ_WQX-4994970",10329017,-111.7115327,40.4375871,"inlet",10329119,"dn"
"276","UTAHDWQ_WQX-4994970",10329017,-111.7115327,40.4375871,"outlet",10329095,"up"
"277","UTAHDWQ_WQX-4995120",10328381,-111.76304,40.33189,"inlet",10329259,"dn"
"278","UTAHDWQ_WQX-4995120",10328381,-111.76304,40.33189,"outlet",NA,"up"
"279","UTAHDWQ_WQX-4996100",10348934,-111.64727,40.184,"inlet",10329171,"dn"
"280","UTAHDWQ_WQX-4996100",10348934,-111.64727,40.184,"outlet",NA,"up"
"281","UTAHDWQ_WQX-5913220",10376632,-111.52352,40.40912,"inlet",10376632,"dn"
"282","UTAHDWQ_WQX-5913220",10376632,-111.52352,40.40912,"outlet",10376628,"up"
"283","UTAHDWQ_WQX-5913230",10376622,-111.5037958,40.4252375,"inlet",10376622,"dn"
"284","UTAHDWQ_WQX-5913230",10376622,-111.5037958,40.4252375,"outlet",10376618,"up"
"285","UTAHDWQ_WQX-5914010",10374226,-111.41575,40.60078,"inlet",10376608,"dn"
"286","UTAHDWQ_WQX-5914010",10374226,-111.41575,40.60078,"outlet",10374258,"up"
"287","UTAHDWQ_WQX-5923310",10093170,-111.4046454,40.7863403,"inlet",10093170,"dn"
"288","UTAHDWQ_WQX-5923310",10093170,-111.4046454,40.7863403,"outlet",10093250,"up"
"289","11NPSWRD_WQX-ROMN_GLAC_022",22949817,-114.466,48.9941,"inlet",NA,"dn"
"290","11NPSWRD_WQX-ROMN_GLAC_022",22949817,-114.466,48.9941,"outlet",NA,"up"
"291","11NPSWRD_WQX-ROMN_GLAC_S01",9305916,-113.681,48.7953,"inlet",9306718,"dn"
"292","11NPSWRD_WQX-ROMN_GLAC_S01",9305916,-113.681,48.7953,"outlet",9306682,"up"
"293","11NPSWRD_WQX-ROMN_GLAC_S04",9306126,-113.717,48.6912,"inlet",9306854,"dn"
"294","11NPSWRD_WQX-ROMN_GLAC_S04",9306126,-113.717,48.6912,"outlet",NA,"up"
"295","11NPSWRD_WQX-ROMN_GLAC_S05",22957647,-113.484,48.307,"inlet",NA,"dn"
"296","11NPSWRD_WQX-ROMN_GLAC_S05",22957647,-113.484,48.307,"outlet",NA,"up"
"297","11NPSWRD_WQX-ROMN_GRKO_S01",24293572,-112.746,46.4087,"inlet",24293576,"dn"
"298","11NPSWRD_WQX-ROMN_GRKO_S01",24293572,-112.746,46.4087,"outlet",24293884,"up"
"299","USGS-08364000",943030230,-106.5408218,31.8028849,"inlet",NA,"dn"
"300","USGS-08364000",943030230,-106.5408218,31.8028849,"outlet",NA,"up"
"301","TCEQMAIN-13272",943030230,-106.5403,31.8028,"inlet",NA,"dn"
"302","TCEQMAIN-13272",943030230,-106.5403,31.8028,"outlet",NA,"up"
"303","USGS-09163500",3176490,-109.0270546,39.1327605,"inlet",NA,"dn"
"304","USGS-09163500",3176490,-109.0270546,39.1327605,"outlet",NA,"up"
"305","11NPSWRD_WQX-BLCA_09128000",3252173,-107.648947,38.5291534,"inlet",NA,"dn"
"306","11NPSWRD_WQX-BLCA_09128000",3252173,-107.648947,38.5291534,"outlet",3252213,"up"
"307","11NPSWRD_WQX-CURE_381633107054700",3253435,-107.0969952,38.2758276,"inlet",NA,"dn"
"308","11NPSWRD_WQX-CURE_381633107054700",3253435,-107.0969952,38.2758276,"outlet",3255305,"up"
"309","11NPSWRD_WQX-CURE_383103106594200",3252693,-106.9956012,38.5174908,"inlet",3252255,"dn"
"310","11NPSWRD_WQX-CURE_383103106594200",3252693,-106.9956012,38.5174908,"outlet",NA,"up"
"311","PUEBLOISLETA-240WW",943020262,-106.72065,34.85729,"inlet",NA,"dn"
"312","PUEBLOISLETA-240WW",943020262,-106.72065,34.85729,"outlet",NA,"up"
"313","PUEBLOISLETA-BLKBRDGE",17808624,-106.67818,34.92571,"inlet",NA,"dn"
"314","PUEBLOISLETA-BLKBRDGE",17808624,-106.67818,34.92571,"outlet",NA,"up"
"315","PUEBLOISLETA-ISLLAKES",17808622,-106.6803,34.94687,"inlet",NA,"dn"
"316","PUEBLOISLETA-ISLLAKES",17808622,-106.6803,34.94687,"outlet",NA,"up"
"317","PUEBLOISLETA-NM147",17808624,-106.68618,34.90588,"inlet",NA,"dn"
"318","PUEBLOISLETA-NM147",17808624,-106.68618,34.90588,"outlet",NA,"up"
"319","PUEBLOISLETA-SOUTHBDY",17808636,-106.71542,34.83665,"inlet",NA,"dn"
"320","PUEBLOISLETA-SOUTHBDY",17808636,-106.71542,34.83665,"outlet",NA,"up"
"321","USGS-09013500",1234493,-105.7983437,40.2363741,"inlet",1234533,"dn"
"322","USGS-09013500",1234493,-105.7983437,40.2363741,"outlet",1234535,"up"
"323","USGS-401226105340100",2888680,-105.5669444,40.2072222,"inlet",2889714,"dn"
"324","USGS-401226105340100",2888680,-105.5669444,40.2072222,"outlet",NA,"up"
"325","USGS-401530105475401",1234473,-105.7983333,40.2583333,"inlet",1234529,"dn"
"326","USGS-401530105475401",1234473,-105.7983333,40.2583333,"outlet",1234637,"up"
"327","USGS-401723105400000",13302,-105.6666667,40.29,"inlet",13676,"dn"
"328","USGS-401723105400000",13302,-105.6666667,40.29,"outlet",13786,"up"
"329","USGS-401733105392400",13676,-105.6572268,40.2924846,"inlet",13676,"dn"
"330","USGS-401733105392400",13676,-105.6572268,40.2924846,"outlet",13778,"up"
"331","USGS-401733105392404",13288,-105.6544444,40.2930556,"inlet",13650,"dn"
"332","USGS-401733105392404",13288,-105.6544444,40.2930556,"outlet",13676,"up"
"333","USGS-402114105350101",13584,-105.5841679,40.3538729,"inlet",13650,"dn"
"334","USGS-402114105350101",13584,-105.5841679,40.3538729,"outlet",NA,"up"
"335","USGS-402123105370401",13578,-105.6176472,40.35645,"inlet",13650,"dn"
"336","USGS-402123105370401",13578,-105.6176472,40.35645,"outlet",NA,"up"
"337","11NPSWRD_WQX-ROMN_ROMO_S01L",1233915,-105.852,40.4378,"inlet",NA,"dn"
"338","11NPSWRD_WQX-ROMN_ROMO_S01L",1233915,-105.852,40.4378,"outlet",NA,"up"
"339","11NPSWRD_WQX-ROMN_ROMO_S01U",1233897,-105.846,40.4538,"inlet",NA,"dn"
"340","11NPSWRD_WQX-ROMN_ROMO_S01U",1233897,-105.846,40.4538,"outlet",NA,"up"
"341","UTAHDWQ_WQX-4937130",1373704,-109.68903,40.1908,"inlet",NA,"dn"
"342","UTAHDWQ_WQX-4937130",1373704,-109.68903,40.1908,"outlet",NA,"up"
"343","UTAHDWQ_WQX-5937650",1392829,-109.42264,40.57524,"inlet",NA,"dn"
"344","UTAHDWQ_WQX-5937650",1392829,-109.42264,40.57524,"outlet",NA,"up"
"345","11NPSWRD_WQX-ROMN_LIBI_S01",12770005,-107.442,45.5664,"inlet",NA,"dn"
"346","11NPSWRD_WQX-ROMN_LIBI_S01",12770005,-107.442,45.5664,"outlet",NA,"up"
"347","TCEQMAIN-18792",603601,-100.4433,28.608,"inlet",NA,"dn"
"348","TCEQMAIN-18792",603601,-100.4433,28.608,"outlet",NA,"up"
"349","TCEQMAIN-11552",14021832,-101.1464,33.6526,"inlet",NA,"dn"
"350","TCEQMAIN-11552",14021832,-101.1464,33.6526,"outlet",24850872,"up"
"351","TCEQMAIN-12022",14034479,-100.24,33.3339,"inlet",NA,"dn"
"352","TCEQMAIN-12022",14034479,-100.24,33.3339,"outlet",NA,"up"
"353","TCEQMAIN-12029",13700459,-100.1803,33.0087,"inlet",NA,"dn"
"354","TCEQMAIN-12029",13700459,-100.1803,33.0087,"outlet",NA,"up"
"355","TCEQMAIN-12362",5721469,-100.766,32.0606,"inlet",NA,"dn"
"356","TCEQMAIN-12362",5721469,-100.766,32.0606,"outlet",5721993,"up"
"357","TCEQMAIN-13223",285292,-101.7576,29.7801,"inlet",NA,"dn"
