"","comid","lon","lat","inletoutlet","tocomid","direction"
"105",8377219,-76.5461,38.9496,"inlet",NA,"dn"
"106",8377219,-76.5461,38.9496,"outlet",8377233,"up"
"107",8377387,-76.5349,38.887,"inlet",NA,"dn"
"108",8377387,-76.5349,38.887,"outlet",NA,"up"
"109",8377313,-76.5341,38.8425,"inlet",NA,"dn"
"110",8377313,-76.5341,38.8425,"outlet",NA,"up"
"111",4726667,-76.084808,39.547939,"inlet",NA,"dn"
"112",4726667,-76.084808,39.547939,"outlet",4726595,"up"
"113",4763692,-75.8113,39.5293,"inlet",NA,"dn"
"114",4763692,-75.8113,39.5293,"outlet",4763706,"up"
"115",27609897,-75.8978,39.5087,"inlet",NA,"dn"
"116",27609897,-75.8978,39.5087,"outlet",27609909,"up"
