"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime","param"
"11","USGS-TX","USGS Texas Water Science Center","nwistx.01.01700050","Sample-Routine","Water","Surface Water",2016-10-12,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08475000","MM-49357A",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US DH-81",NA,"Nitrogen","Suspended",0.568,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2016-10-26,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2016-10-12 15:00:00,NA,"Nitrogen Suspended mg/l"
"12","USGS-TX","USGS Texas Water Science Center","nwistx.01.01602278","Sample-Routine","Water","Surface Water",2016-04-08,"12:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057410","MM-46510A",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.168,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2016-04-26,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2016-04-08 17:00:00,NA,"Nitrogen Suspended mg/l"
"13","USGS-TX","USGS Texas Water Science Center","nwistx.01.01904528","Sample-Routine","Water","Surface Water",2019-09-17,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08475000","MM-58382A",NA,"Stable, high stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US DH-81",NA,"Nitrogen","Suspended",0.094,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2019-10-23,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2019-09-17 15:00:00,NA,"Nitrogen Suspended mg/l"
"14","USGS-TX","USGS Texas Water Science Center","nwistx.01.01702088","Sample-Routine","Water","Surface Water",2017-05-15,"12:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057200","MM-51970A",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.269,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2017-06-08,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2017-05-15 17:00:00,NA,"Nitrogen Suspended mg/l"
"15","USGS-TX","USGS Texas Water Science Center","nwistx.01.01802042","Sample-Routine","Water","Surface Water",2018-05-08,"12:40:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057410","MM-54412A",NA,"Falling stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-95 Teflon bottle",NA,"Nitrogen","Suspended",0.302,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2018-06-08,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2018-05-08 17:40:00,NA,"Nitrogen Suspended mg/l"
"16","USGS-TX","USGS Texas Water Science Center","nwistx.01.01605080","Sample-Routine","Water","Surface Water",2016-09-20,"14:45:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057200","MM-49815A",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.144,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2016-10-14,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2016-09-20 19:45:00,NA,"Nitrogen Suspended mg/l"
"17","USGS-TX","USGS Texas Water Science Center","nwistx.01.01904436","Sample-Routine","Water","Surface Water",2019-09-16,"10:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057200","MM-58219A",NA,"Stable, normal stage","Routine sample","30","USGS parameter code 82398","Single vertical","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.224,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2019-10-22,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2019-09-16 15:30:00,NA,"Nitrogen Suspended mg/l"
"18","USGS-TX","USGS Texas Water Science Center","nwistx.01.01402358","Sample-Routine","Water","Surface Water",2014-07-09,"10:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08116650","A-1950001 TPCN #1 =8.5mL  TPCN #2 =12.0mL, TPCN #3 =13.5mL. Equipment last used at Rosharon on 6/25/14. L-1950001 Received July 11, 2014",NA,"Stable, normal stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US DH-95 Teflon bottle",NA,"Nitrogen","Suspended",0.299,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2014-10-06,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2014-07-09 15:00:00,NA,"Nitrogen Suspended mg/l"
"19","USGS-TX","USGS Texas Water Science Center","nwistx.01.01901060","Sample-Routine","Water","Surface Water",2019-04-09,"11:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08116650","Too light for pipette; CSF run on sample.",NA,"Falling stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US DH-2 Bag Sampler",NA,"Nitrogen","Suspended",0.518,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2019-05-06,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2019-04-09 16:00:00,NA,"Nitrogen Suspended mg/l"
"20","USGS-TX","USGS Texas Water Science Center","nwistx.01.01904264","Sample-Routine","Water","Surface Water",2019-09-03,"10:10:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-08057200","MM-58218A",NA,"Stable, normal stage","Routine sample","30","USGS parameter code 82398","Single vertical","Weighted-bottle sampler",NA,"Nitrogen","Suspended",0.204,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"49570",NA,NA,NA,NA,NA,"COMB7","USGS","TPN, GF/F, combusion",NA,"USGS-National Water Quality Lab, Denver, CO",2019-10-07,NA,"Long Term Method Detection Level",0.03,"mg/l",NA,"NWIS",2019-09-03 15:10:00,NA,"Nitrogen Suspended mg/l"
