"","site","comid","lon","lat","inletoutlet","tocomid","direction"
"65","CEDEN-309TEH",17605297,-121.755,36.7593,"inlet",NA,"dn"
"66","CEDEN-309TEH",17605297,-121.755,36.7593,"outlet",NA,"up"
"67","CEDEN-310ARG",8193683,-120.606,35.0952,"inlet",NA,"dn"
"68","CEDEN-310ARG",8193683,-120.606,35.0952,"outlet",8193711,"up"
"69","CEDEN-310CCC",8192587,-120.812,35.3575,"inlet",NA,"dn"
"70","CEDEN-310CCC",8192587,-120.812,35.3575,"outlet",8193697,"up"
"71","CEDEN-310PIS",8192993,-120.635,35.1403,"inlet",NA,"dn"
"72","CEDEN-310PIS",8192993,-120.635,35.1403,"outlet",NA,"up"
"73","CEDEN-310PRE",8193639,-120.682,35.2469,"inlet",NA,"dn"
"74","CEDEN-310PRE",8193639,-120.682,35.2469,"outlet",948060285,"up"
"75","CEDEN-310SLB",8192913,-120.718,35.1883,"inlet",NA,"dn"
"76","CEDEN-310SLB",8192913,-120.718,35.1883,"outlet",NA,"up"
"77","CEDEN-310SSC",8191191,-121.121,35.5945,"inlet",NA,"dn"
"78","CEDEN-310SSC",8191191,-121.121,35.5945,"outlet",NA,"up"
"79","CEDEN-310TWB",8193581,-120.827,35.3542,"inlet",NA,"dn"
"80","CEDEN-310TWB",8193581,-120.827,35.3542,"outlet",8193697,"up"
"81","CEDEN-310USG",8193677,-120.569,35.1245,"inlet",NA,"dn"
"82","CEDEN-310USG",8193677,-120.569,35.1245,"outlet",8193711,"up"
"83","CEDEN-310WRP",8192635,-120.806,35.3207,"inlet",NA,"dn"
"84","CEDEN-310WRP",8192635,-120.806,35.3207,"outlet",NA,"up"
"85","CEDEN-312BCJ",17624027,-120.417,34.9454,"inlet",NA,"dn"
"86","CEDEN-312BCJ",17624027,-120.417,34.9454,"outlet",NA,"up"
"87","CEDEN-312MSD",17624027,-120.487,34.9552,"inlet",NA,"dn"
"88","CEDEN-312MSD",17624027,-120.487,34.9552,"outlet",NA,"up"
"89","CEDEN-312OFC",17622461,-120.586,35.0164,"inlet",17622461,"dn"
"90","CEDEN-312OFC",17622461,-120.586,35.0164,"outlet",17622457,"up"
"91","CEDEN-312OFN",17622461,-120.586,35.0228,"inlet",17622461,"dn"
"92","CEDEN-312OFN",17622461,-120.586,35.0228,"outlet",17622457,"up"
"93","CEDEN-312ORC",17624043,-120.631,34.9576,"inlet",NA,"dn"
"94","CEDEN-312ORC",17624043,-120.631,34.9576,"outlet",NA,"up"
"95","CEDEN-312ORI",17624121,-120.573,34.9414,"inlet",NA,"dn"
"96","CEDEN-312ORI",17624121,-120.573,34.9414,"outlet",NA,"up"
"97","CEDEN-312SMA",17623995,-120.642,34.9638,"inlet",NA,"dn"
"98","CEDEN-312SMA",17623995,-120.642,34.9638,"outlet",NA,"up"
"99","CEDEN-313SAI",17620568,-120.53,34.7823,"inlet",NA,"dn"
"100","CEDEN-313SAI",17620568,-120.53,34.7823,"outlet",17620632,"up"
"101","CEDEN-314SYN",17608943,-120.553,34.6766,"inlet",17609065,"dn"
"102","CEDEN-314SYN",17608943,-120.553,34.6766,"outlet",NA,"up"
"103","CEDEN-PintoLake_Buoy2",17665485,-121.771,36.9547,"inlet",NA,"dn"
"104","CEDEN-PintoLake_Buoy2",17665485,-121.771,36.9547,"outlet",NA,"up"
"105","SYCEO_WQX-ZDC-7",17608009,-120.0937167,34.5934167,"inlet",NA,"dn"
"106","SYCEO_WQX-ZDC-7",17608009,-120.0937167,34.5934167,"outlet",NA,"up"
"107","CEDEN-KR18973_KHSA",361661,-122.442,41.931,"inlet",NA,"dn"
"108","CEDEN-KR18973_KHSA",361661,-122.442,41.931,"outlet",362919,"up"
"109","CEDEN-KR19019_KHSA",362919,-122.435,41.9342,"inlet",362919,"dn"
"110","CEDEN-KR19019_KHSA",362919,-122.435,41.9342,"outlet",362899,"up"
"111","CEDEN-KR19874_KHSA",362869,-122.331,41.9804,"inlet",362869,"dn"
"112","CEDEN-KR19874_KHSA",362869,-122.331,41.9804,"outlet",362867,"up"
"113","CEDEN-KR20642_KHSA",361457,-122.202,41.9724,"inlet",362927,"dn"
"114","CEDEN-KR20642_KHSA",361457,-122.202,41.9724,"outlet",359333,"up"
"115","CEDEN-KR23340_KHSA",2553639,-121.948,42.1345,"inlet",359315,"dn"
"116","CEDEN-KR23340_KHSA",2553639,-121.948,42.1345,"outlet",NA,"up"
"117","CEDEN-KR25444_KHSA",2553629,-121.79,42.2194,"inlet",2553629,"dn"
"118","CEDEN-KR25444_KHSA",2553629,-121.79,42.2194,"outlet",NA,"up"
"119","KLAMATHTRIBES_WQX-KL0001",24091906,-121.80588,42.23861,"inlet",2553629,"dn"
"120","KLAMATHTRIBES_WQX-KL0001",24091906,-121.80588,42.23861,"outlet",NA,"up"
"121","KLAMATHTRIBES_WQX-KL0002",24091906,-121.822306,42.241722,"inlet",2553629,"dn"
"122","KLAMATHTRIBES_WQX-KL0002",24091906,-121.822306,42.241722,"outlet",NA,"up"
"123","KLAMATHTRIBES_WQX-KL0003",24091916,-121.856222,42.308389,"inlet",2553629,"dn"
"124","KLAMATHTRIBES_WQX-KL0003",24091916,-121.856222,42.308389,"outlet",NA,"up"
"125","KLAMATHTRIBES_WQX-KL0004",24092324,-121.919922,42.32689,"inlet",24092324,"dn"
