"","comid","lon","lat","inletoutlet","tocomid","direction"
"434",4720211,-75.9774431,40.1284308,"outlet",4720315,"up"
"435",4720201,-75.9885539,40.1448189,"inlet",NA,"dn"
"436",4720201,-75.9885539,40.1448189,"outlet",NA,"up"
"437",4724553,-76.3677388,39.9464886,"inlet",4726359,"dn"
"438",4724553,-76.3677388,39.9464886,"outlet",NA,"up"
"439",4724801,-76.328293,39.9059341,"inlet",4726369,"dn"
"440",4724801,-76.328293,39.9059341,"outlet",NA,"up"
"441",4726667,-76.084808,39.547939,"inlet",NA,"dn"
"442",4726667,-76.084808,39.547939,"outlet",4726595,"up"
"443",3808623,-79.31585,39.537225,"inlet",3809121,"dn"
"444",3808623,-79.31585,39.537225,"outlet",NA,"up"
"445",4763692,-75.8113,39.5293,"inlet",NA,"dn"
"446",4763692,-75.8113,39.5293,"outlet",4763706,"up"
"447",27609897,-75.8978,39.5087,"inlet",NA,"dn"
"448",27609897,-75.8978,39.5087,"outlet",27609909,"up"
"449",6163199,-72.1659111,41.6823208,"inlet",NA,"dn"
"450",6163199,-72.1659111,41.6823208,"outlet",6163123,"up"
"451",6144833,-71.9556289,42.0223189,"inlet",6145053,"dn"
"452",6144833,-71.9556289,42.0223189,"outlet",6145127,"up"
"453",6149075,-71.9840944,41.5974917,"inlet",NA,"dn"
"454",6149075,-71.9840944,41.5974917,"outlet",6149665,"up"
"455",7699970,-72.6053669,41.9873186,"inlet",NA,"dn"
"456",7699970,-72.6053669,41.9873186,"outlet",NA,"up"
"457",6109717,-72.7593528,41.9082833,"inlet",NA,"dn"
"458",6109717,-72.7593528,41.9082833,"outlet",6109657,"up"
"459",6177036,-72.841275,41.4502639,"inlet",6178142,"dn"
"460",6177036,-72.841275,41.4502639,"outlet",6178014,"up"
"461",7718288,-73.1666389,41.3838028,"inlet",NA,"dn"
"462",7718288,-73.1666389,41.3838028,"outlet",7718290,"up"
"463",7718060,-73.0622833,41.4423,"inlet",NA,"dn"
"464",7718060,-73.0622833,41.4423,"outlet",25076388,"up"
"465",7732571,-73.426231,41.1353743,"inlet",7733839,"dn"
"466",7732571,-73.426231,41.1353743,"outlet",7733553,"up"
"467",25020520,-73.219294,44.4578272,"inlet",7733839,"dn"
"468",25020520,-73.219294,44.4578272,"outlet",4578876,"up"
"469",2612794,-74.6622222,42.3611111,"inlet",NA,"dn"
"470",2612794,-74.6622222,42.3611111,"outlet",NA,"up"
"471",4147950,-74.4480556,41.9669444,"inlet",NA,"dn"
"472",4147950,-74.4480556,41.9669444,"outlet",NA,"up"
"473",4146586,-74.4144444,42.0111111,"inlet",NA,"dn"
"474",4146586,-74.4144444,42.0111111,"outlet",NA,"up"
"475",4147946,-74.5002222,41.9960833,"inlet",NA,"dn"
"476",4147946,-74.5002222,41.9960833,"outlet",NA,"up"
"477",4147956,-74.59,41.89,"inlet",4148030,"dn"
"478",4147956,-74.59,41.89,"outlet",NA,"up"
"479",10311384,-73.4128,44.1261,"inlet",10311384,"dn"
"480",10311384,-73.4128,44.1261,"outlet",10311396,"up"
"481",25020526,-73.2992,44.4711,"inlet",10311384,"dn"
"482",25020526,-73.2992,44.4711,"outlet",25020528,"up"
"483",25020520,-73.2317,44.4747,"inlet",10311384,"dn"
"484",25020520,-73.2317,44.4747,"outlet",4578876,"up"
"485",4578818,-73.2169,44.3703,"inlet",4578884,"dn"
"486",4578818,-73.2169,44.3703,"outlet",NA,"up"
"487",10314334,-73.4078,43.9517,"inlet",10314334,"dn"
"488",10314334,-73.4078,43.9517,"outlet",10314338,"up"
"489",10312380,-73.3831,43.7314,"inlet",10312754,"dn"
"490",10312380,-73.3831,43.7314,"outlet",NA,"up"
"491",4578876,-73.2319,44.4258,"inlet",10312754,"dn"
"492",4578876,-73.2319,44.4258,"outlet",4578884,"up"
"493",4573921,-72.0989,44.1907,"inlet",NA,"dn"
"494",4573921,-72.0989,44.1907,"outlet",4573973,"up"
"495",25020680,-73.355,44.7561,"inlet",NA,"dn"
"496",25020680,-73.355,44.7561,"outlet",NA,"up"
"497",9527387,-73.4962,44.5942,"inlet",NA,"dn"
"498",9527387,-73.4962,44.5942,"outlet",NA,"up"
"499",166176984,-73.1283,44.9169,"inlet",NA,"dn"
"500",166176984,-73.1283,44.9169,"outlet",NA,"up"
"501",4587314,-73.2269,44.7081,"inlet",NA,"dn"
"502",4587314,-73.2269,44.7081,"outlet",NA,"up"
"503",4588716,-73.1622,44.7853,"inlet",NA,"dn"
"504",4588716,-73.1622,44.7853,"outlet",NA,"up"
"505",4590519,-72.8755,44.9739,"inlet",NA,"dn"
"506",4590519,-72.8755,44.9739,"outlet",4590593,"up"
"507",932010376,-73.1739,45.0133,"inlet",NA,"dn"
"508",932010376,-73.1739,45.0133,"outlet",NA,"up"
"509",4588714,-73.2811,44.5819,"inlet",NA,"dn"
"510",4588714,-73.2811,44.5819,"outlet",NA,"up"
"511",25020676,-73.34,44.9483,"inlet",NA,"dn"
"512",25020676,-73.34,44.9483,"outlet",NA,"up"
"513",3324486,-69.4861306,44.4981889,"inlet",3322442,"dn"
"514",3324486,-69.4861306,44.4981889,"outlet",3325318,"up"
