"","comid","lon","lat","inletoutlet","tocomid","direction"
"100",937010488,-93.116732,45.044464,"outlet",937010491,"up"
"101",1100020,-93.226134,45.044741,"inlet",1100672,"dn"
"102",1100020,-93.226134,45.044741,"outlet",NA,"up"
"103",1101300,-92.980623,44.950731,"inlet",1104172,"dn"
"104",1101300,-92.980623,44.950731,"outlet",1101450,"up"
"105",1097722,-92.97387,45.06874,"inlet",1100638,"dn"
"106",1097722,-92.97387,45.06874,"outlet",1097730,"up"
"107",1104206,-93.220278,45.012778,"inlet",NA,"dn"
"108",1104206,-93.220278,45.012778,"outlet",NA,"up"
"109",18471310,-87.5500227,38.4897695,"inlet",NA,"dn"
"110",18471310,-87.5500227,38.4897695,"outlet",NA,"up"
"111",1841403,-89.041737,37.2031076,"inlet",NA,"dn"
"112",1841403,-89.041737,37.2031076,"outlet",NA,"up"
"113",5092616,-89.462975,37.2216,"inlet",NA,"dn"
"114",5092616,-89.462975,37.2216,"outlet",NA,"up"
"115",14063535,-89.509242,35.3931392,"inlet",NA,"dn"
"116",14063535,-89.509242,35.3931392,"outlet",NA,"up"
"117",14061897,-89.6748023,35.3495296,"inlet",NA,"dn"
"118",14061897,-89.6748023,35.3495296,"outlet",NA,"up"
"119",6802796,-88.1811111,44.49,"inlet",25281296,"dn"
"120",6802796,-88.1811111,44.49,"outlet",NA,"up"
"121",6865553,-88.9283333,43.8161111,"inlet",6866247,"dn"
"122",6865553,-88.9283333,43.8161111,"outlet",NA,"up"
"123",6866127,-88.871501,43.8583156,"inlet",6866233,"dn"
"124",6866127,-88.871501,43.8583156,"outlet",6866229,"up"
"125",6866237,-88.9266667,43.8244444,"inlet",6866237,"dn"
"126",6866237,-88.9266667,43.8244444,"outlet",6866235,"up"
"127",12006335,-88.1712146,44.3055449,"inlet",NA,"dn"
"128",12006335,-88.1712146,44.3055449,"outlet",NA,"up"
"129",12005339,-87.9400994,44.4224931,"inlet",12005405,"dn"
"130",12005339,-87.9400994,44.4224931,"outlet",NA,"up"
"131",12175490,-87.9213889,43.7888889,"inlet",NA,"dn"
"132",12175490,-87.9213889,43.7888889,"outlet",NA,"up"
"133",13293430,-89.3525,43.2088889,"inlet",13294280,"dn"
"134",13293430,-89.3525,43.2088889,"outlet",NA,"up"
"135",13293576,-89.4019444,43.1508333,"inlet",13294290,"dn"
"136",13293576,-89.4019444,43.1508333,"outlet",13294280,"up"
"137",13294264,-89.5361111,43.1111111,"inlet",13294314,"dn"
"138",13294264,-89.5361111,43.1111111,"outlet",NA,"up"
"139",13294264,-89.5116667,43.1033333,"inlet",13294314,"dn"
"140",13294264,-89.5116667,43.1033333,"outlet",NA,"up"
"141",13295570,-88.5509338,42.6508485,"inlet",13296236,"dn"
"142",13295570,-88.5509338,42.6508485,"outlet",NA,"up"
"143",13295584,-88.5608333,42.6408333,"inlet",13296236,"dn"
"144",13295584,-88.5608333,42.6408333,"outlet",NA,"up"
"145",13295606,-88.5826011,42.6211265,"inlet",13296244,"dn"
"146",13295606,-88.5826011,42.6211265,"outlet",13296242,"up"
"147",13296116,-88.6248244,42.6147374,"inlet",NA,"dn"
"148",13296116,-88.6248244,42.6147374,"outlet",13296250,"up"
"149",13410000,-89.7991667,42.8747222,"inlet",NA,"dn"
